 จำนวนรถที่จดทะเบียนสะสม  ณ  วันที่ 31 มกราคม 2561 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of Vehicle Registered in Thailand as of 31 January 2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (คัน : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
     แยกเป็น - ประจำทาง Fixed Route Bus ," 78,390 "," 22,297 "," 56,093 "," 6,901 ", 112 , 211 , 759 , 197 , 312 ," 1,001 "," 1,161 ", 915 ," 2,233 "," 6,680 ", 155 , 287 , 855 ," 3,132 "," 1,189 ", 364 , 442 , 256 ," 17,049 ", -   , 636 , 468 ," 1,427 ", 622 , 631 ," 3,469 ", 829 , 123 , 492 , 51 , 261 , 428 ," 1,899 ", 394 , 960 ," 2,190 ", 432 , 724 , 774 , 239 ," 8,627 "," 1,127 ", 102 ," 1,920 ", 219 , 220 , 286 , 854 , 315 , 223 , 310 , 617 , 329 , 367 , 94 , 472 , 929 , 243 ," 5,020 "," 1,097 ", 848 , 736 , 443 ," 1,018 ", 368 , 209 , 301 ," 11,816 ", 419 , 499 ," 2,041 ", 361 ," 2,172 ", 669 , 399 , 801 , 529 ," 2,427 ", 343 , 449 , 442 , 265 
                            หมวด 1 ," 19,860 "," 11,742 "," 8,118 ", 738 , -   , 12 , 142 , -   , 49 , 106 , -   , 289 , 140 ," 1,288 ", -   , 11 , 176 , 907 , 151 , -   , 32 , 11 ," 2,161 ",, 5 , 21 , 207 , 8 , 28 , 430 , 32 , 18 , 74 , 2 , 3 , 30 , 441 , -   , 91 , 648 , 20 , 85 , -   , 18 ," 1,174 ", 253 , -   , 44 , -   , 38 , -   , 259 , 33 , 7 , 10 , 109 , 38 , 33 , 1 , 21 , 311 , 17 , 495 , 35 , 184 , 17 , 71 , 108 , 8 , 9 , 63 ," 2,262 ", 63 , 144 , 939 , 108 , 482 , 77 , 38 , 81 , 30 , 199 , 95 , 4 , -   , 2 
                            หมวด 2 ," 10,246 "," 5,929 "," 4,317 ", 516 , 31 , 52 , 98 , 68 , 2 , 158 , 107 , -   , -   , 895 , 71 , 47 , 128 , 314 , 220 , 83 , -   , 32 ," 1,329 ",, 92 , -   , 15 , -   , -   , 708 , -   , -   , 1 , -   , 1 , 71 , 119 , 1 , -   , 160 , 6 , 51 , 96 , 8 , 429 , -   , -   , 26 , -   , -   , -   , 31 , 8 , 9 , 31 , -   , 36 , 19 , 18 , 110 , 106 , 35 ," 1,016 ", 574 , 118 , 92 , 41 , -   , 34 , 30 , 127 , 132 , 49 , 26 , 1 , -   , -   , -   , 56 , -   , -   , -   , -   , -   , -   , -   
                            หมวด 3 ," 12,122 ", 92 ," 12,030 ", 951 , 12 , 26 , 106 , 41 , 44 , 149 , 379 , 132 , 62 , 908 , 49 , 52 , 231 , 245 , 166 , 81 , 17 , 67 ," 4,788 ",, 178 , 238 , 370 , 147 , 111 , 806 , 197 , 46 , 198 , 24 , 157 , 33 , 601 , 33 , 419 , 754 , 158 , 101 , 163 , 54 ," 1,414 ", 106 , 12 , 314 , 9 , 42 , 202 , 47 , 14 , 4 , 90 , 125 , 140 , 40 , 10 , 87 , 157 , 15 , 775 , 138 , 154 , 231 , 16 , 52 , 109 , 36 , 39 ," 3,194 ", 102 , 90 , 375 , 23 , 545 , 110 , 71 , 289 , 323 , 603 , 127 , 291 , 239 , 6 
                            หมวด 4 ," 34,702 "," 4,133 "," 30,569 "," 4,631 ", 67 , 120 , 409 , 80 , 210 , 584 , 674 , 484 ," 2,003 "," 3,458 ", 28 , 93 , 319 ," 1,660 ", 630 , 196 , 388 , 144 ," 8,366 ",, 346 , 166 , 818 , 442 , 464 ," 1,464 ", 591 , 59 , 216 , 25 , 73 , 287 , 675 , 352 , 439 , 613 , 243 , 475 , 464 , 154 ," 5,387 ", 738 , 88 ," 1,520 ", 210 , 139 , 81 , 510 , 257 , 193 , 164 , 378 , 112 , 264 , 56 , 253 , 251 , 173 ," 2,694 ", 348 , 386 , 381 , 311 , 856 , 213 , 129 , 70 ," 6,033 ", 190 , 234 , 703 , 218 ," 1,122 ", 480 , 234 , 410 , 171 ," 1,611 ", 119 , 140 , 155 , 246 
                            ระหว่างประเทศ , 42 , 10 , 32 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 ,, -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 6 , 6 , -   , 2 , -   , -   , -   , 5 , 7 , 4 , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                           ไม่ระบุ ," 1,418 ", 391 ," 1,027 ", 65 , 2 , 1 , 4 , 8 , 7 , 4 , 1 , 10 , 28 , 131 , 7 , 84 , 1 , 6 , 22 , 4 , 5 , 2 , 380 ,, 15 , 43 , 15 , 25 , 28 , 61 , 9 , -   , 3 , -   , 25 , 5 , 57 , 2 , 11 , 13 , 5 , 12 , 51 , -   , 216 , 26 , 2 , 14 , -   , -   , 3 , 7 , 3 , 10 , 15 , 5 , 3 , 11 , 9 , 1 , 104 , 3 , 40 , 2 , 6 , 15 , 4 , 2 , 4 , 5 , 2 , 195 , 15 , 5 , 23 , 12 , 23 , 2 , -   , 21 , 5 , 14 , 2 , 14 , 48 , 11 
                   - ไม่ประจำทาง Non Fixed Route Bus ," 68,015 "," 17,654 "," 50,361 "," 8,561 ", 218 , 190 , 900 , 751 , 683 ," 2,193 "," 1,179 ", 903 ," 1,544 "," 7,318 ", 187 , 461 ," 1,394 "," 3,136 ", 916 , 713 , 266 , 245 ," 5,931 ", -   , 185 , 128 , 351 , 231 , 261 ," 2,145 ", 377 , 55 , 100 , 84 , 139 , 146 , 291 , 164 , 172 , 374 , 219 , 157 , 262 , 90 ," 8,313 ", 630 , 65 ," 4,957 ", 191 , 187 , 108 , 172 , 63 , 142 , 162 , 190 , 415 , 165 , 165 , 226 , 287 , 188 ," 3,247 ", 537 , 229 , 561 , 346 , 485 , 89 , 421 , 579 ," 16,991 ", 160 , 111 ," 1,248 "," 1,183 ", 411 ," 1,373 "," 7,532 ", 248 , 260 ," 3,248 ", 267 , 284 , 538 , 128 
                           ไม่ประจำทาง ," 68,015 "," 17,654 "," 50,361 "," 8,561 ", 218 , 190 , 900 , 751 , 683 ," 2,193 "," 1,179 ", 903 ," 1,544 "," 7,318 ", 187 , 461 ," 1,394 "," 3,136 ", 916 , 713 , 266 , 245 ," 5,931 ",, 185 , 128 , 351 , 231 , 261 ," 2,145 ", 377 , 55 , 100 , 84 , 139 , 146 , 291 , 164 , 172 , 374 , 219 , 157 , 262 , 90 ," 8,313 ", 630 , 65 ," 4,957 ", 191 , 187 , 108 , 172 , 63 , 142 , 162 , 190 , 415 , 165 , 165 , 226 , 287 , 188 ," 3,247 ", 537 , 229 , 561 , 346 , 485 , 89 , 421 , 579 ," 16,991 ", 160 , 111 ," 1,248 "," 1,183 ", 411 ," 1,373 "," 7,532 ", 248 , 260 ," 3,248 ", 267 , 284 , 538 , 128 
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                   - ส่วนบุคคล Private Bus ," 12,678 "," 3,117 "," 9,561 "," 1,366 ", 41 , 40 , 191 , 55 , 104 , 146 , 232 , 315 , 242 ," 1,043 ", 20 , 41 , 123 , 528 , 220 , 59 , 23 , 29 ," 2,922 ", -   , 154 , 51 , 252 , 275 , 142 , 391 , 125 , 26 , 71 , 50 , 53 , 94 , 228 , 54 , 123 , 337 , 125 , 123 , 233 , 15 ," 1,673 ", 142 , 19 , 345 , 56 , 49 , 45 , 145 , 56 , 54 , 71 , 64 , 111 , 93 , 92 , 113 , 174 , 44 , 912 , 144 , 102 , 240 , 94 , 168 , 18 , 89 , 57 ," 1,645 ", 19 , 13 , 104 , 58 , 251 , 73 , 191 , 88 , 122 , 313 , 36 , 163 , 144 , 70 
                            ส่วนบุคคล ," 12,678 "," 3,117 "," 9,561 "," 1,366 ", 41 , 40 , 191 , 55 , 104 , 146 , 232 , 315 , 242 ," 1,043 ", 20 , 41 , 123 , 528 , 220 , 59 , 23 , 29 ," 2,922 ",, 154 , 51 , 252 , 275 , 142 , 391 , 125 , 26 , 71 , 50 , 53 , 94 , 228 , 54 , 123 , 337 , 125 , 123 , 233 , 15 ," 1,673 ", 142 , 19 , 345 , 56 , 49 , 45 , 145 , 56 , 54 , 71 , 64 , 111 , 93 , 92 , 113 , 174 , 44 , 912 , 144 , 102 , 240 , 94 , 168 , 18 , 89 , 57 ," 1,645 ", 19 , 13 , 104 , 58 , 251 , 73 , 191 , 88 , 122 , 313 , 36 , 163 , 144 , 70 
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     รวมรถบรรทุก Truck : Total ," 1,090,765 "," 141,554 "," 949,211 "," 148,510 "," 7,812 "," 4,850 "," 14,430 "," 4,895 "," 31,212 "," 20,919 "," 18,884 "," 16,577 "," 28,931 "," 127,368 "," 3,904 "," 10,756 "," 21,060 "," 47,123 "," 23,594 "," 7,630 "," 3,139 "," 10,162 "," 274,828 ", -   ," 19,307 "," 5,618 "," 18,192 "," 12,474 "," 19,147 "," 51,363 "," 16,466 "," 3,194 "," 7,803 "," 3,199 "," 5,471 "," 10,808 "," 20,548 "," 4,452 "," 8,028 "," 26,943 "," 12,281 "," 11,657 "," 13,405 "," 4,472 "," 169,816 "," 14,346 ", 968 ," 17,769 "," 6,791 "," 5,605 "," 4,190 "," 8,492 "," 5,769 "," 5,913 "," 10,267 "," 6,568 "," 13,538 "," 17,256 "," 9,136 "," 13,264 "," 23,753 "," 6,191 "," 135,363 "," 26,049 "," 17,698 "," 37,138 "," 17,710 "," 12,873 "," 3,002 "," 10,345 "," 10,548 "," 93,326 "," 6,699 "," 3,002 "," 16,300 "," 2,677 "," 12,770 "," 4,961 "," 4,054 "," 5,287 "," 6,582 "," 19,539 "," 2,014 "," 3,052 "," 3,500 "," 2,889 "
     แยกเป็น - ไม่ประจำทาง Non Fixed Route Truck ," 294,985 "," 76,586 "," 218,399 "," 53,407 "," 1,209 ", 664 ," 1,332 ", 365 ," 11,805 "," 9,474 "," 6,524 "," 5,771 "," 16,263 "," 43,095 ", 986 ," 1,290 "," 7,300 "," 19,830 "," 10,968 "," 1,051 ", 415 ," 1,255 "," 35,765 ", -   ," 1,950 ", 618 ," 2,847 ", 899 ," 1,591 "," 6,671 "," 2,131 ", 231 , 829 , 560 ," 1,619 "," 1,096 "," 3,706 ", 604 , 974 ," 3,754 ", 949 ," 2,199 "," 1,384 "," 1,153 "," 28,428 "," 3,810 ", 85 ," 4,513 "," 1,248 ", 664 , 672 ," 3,021 ", 369 , 891 , 796 ," 2,627 "," 1,660 "," 1,486 ", 529 , 472 ," 5,409 ", 176 ," 34,452 "," 1,659 "," 3,292 "," 12,132 "," 4,144 "," 4,308 ", 655 ," 5,013 "," 3,249 "," 23,252 "," 1,598 ", 673 ," 3,641 ", 264 ," 1,850 ", 537 , 465 ," 1,075 "," 1,775 "," 9,491 ", 318 , 461 , 691 , 413 
                           ไม่ประจำทาง ," 294,985 "," 76,586 "," 218,399 "," 53,407 "," 1,209 ", 664 ," 1,332 ", 365 ," 11,805 "," 9,474 "," 6,524 "," 5,771 "," 16,263 "," 43,095 ", 986 ," 1,290 "," 7,300 "," 19,830 "," 10,968 "," 1,051 ", 415 ," 1,255 "," 35,765 ",," 1,950 ", 618 ," 2,847 ", 899 ," 1,591 "," 6,671 "," 2,131 ", 231 , 829 , 560 ," 1,619 "," 1,096 "," 3,706 ", 604 , 974 ," 3,754 ", 949 ," 2,199 "," 1,384 "," 1,153 "," 28,428 "," 3,810 ", 85 ," 4,513 "," 1,248 ", 664 , 672 ," 3,021 ", 369 , 891 , 796 ," 2,627 "," 1,660 "," 1,486 ", 529 , 472 ," 5,409 ", 176 ," 34,452 "," 1,659 "," 3,292 "," 12,132 "," 4,144 "," 4,308 ", 655 ," 5,013 "," 3,249 "," 23,252 "," 1,598 ", 673 ," 3,641 ", 264 ," 1,850 ", 537 , 465 ," 1,075 "," 1,775 "," 9,491 ", 318 , 461 , 691 , 413 
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                   - ส่วนบุคคล Private Truck ," 795,780 "," 64,968 "," 730,812 "," 95,103 "," 6,603 "," 4,186 "," 13,098 "," 4,530 "," 19,407 "," 11,445 "," 12,360 "," 10,806 "," 12,668 "," 84,273 "," 2,918 "," 9,466 "," 13,760 "," 27,293 "," 12,626 "," 6,579 "," 2,724 "," 8,907 "," 239,063 ", -   ," 17,357 "," 5,000 "," 15,345 "," 11,575 "," 17,556 "," 44,692 "," 14,335 "," 2,963 "," 6,974 "," 2,639 "," 3,852 "," 9,712 "," 16,842 "," 3,848 "," 7,054 "," 23,189 "," 11,332 "," 9,458 "," 12,021 "," 3,319 "," 141,388 "," 10,536 ", 883 ," 13,256 "," 5,543 "," 4,941 "," 3,518 "," 5,471 "," 5,400 "," 5,022 "," 9,471 "," 3,941 "," 11,878 "," 15,770 "," 8,607 "," 12,792 "," 18,344 "," 6,015 "," 100,911 "," 24,390 "," 14,406 "," 25,006 "," 13,566 "," 8,565 "," 2,347 "," 5,332 "," 7,299 "," 70,074 "," 5,101 "," 2,329 "," 12,659 "," 2,413 "," 10,920 "," 4,424 "," 3,589 "," 4,212 "," 4,807 "," 10,048 "," 1,696 "," 2,591 "," 2,809 "," 2,476 "
                            ส่วนบุคคล ," 795,780 "," 64,968 "," 730,812 "," 95,103 "," 6,603 "," 4,186 "," 13,098 "," 4,530 "," 19,407 "," 11,445 "," 12,360 "," 10,806 "," 12,668 "," 84,273 "," 2,918 "," 9,466 "," 13,760 "," 27,293 "," 12,626 "," 6,579 "," 2,724 "," 8,907 "," 239,063 ",," 17,357 "," 5,000 "," 15,345 "," 11,575 "," 17,556 "," 44,692 "," 14,335 "," 2,963 "," 6,974 "," 2,639 "," 3,852 "," 9,712 "," 16,842 "," 3,848 "," 7,054 "," 23,189 "," 11,332 "," 9,458 "," 12,021 "," 3,319 "," 141,388 "," 10,536 ", 883 ," 13,256 "," 5,543 "," 4,941 "," 3,518 "," 5,471 "," 5,400 "," 5,022 "," 9,471 "," 3,941 "," 11,878 "," 15,770 "," 8,607 "," 12,792 "," 18,344 "," 6,015 "," 100,911 "," 24,390 "," 14,406 "," 25,006 "," 13,566 "," 8,565 "," 2,347 "," 5,332 "," 7,299 "," 70,074 "," 5,101 "," 2,329 "," 12,659 "," 2,413 "," 10,920 "," 4,424 "," 3,589 "," 4,212 "," 4,807 "," 10,048 "," 1,696 "," 2,591 "," 2,809 "," 2,476 "
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     โดยรถขนาดเล็ก Small Rural Bus , 700 , -   , 700 , 24 , 2 , 1 , 1 , -   , 4 , 2 , -   , 4 , 10 , 9 , -   , -   , -   , 3 , 1 , 3 , -   , 2 , 240 ,, -   , 11 , -   , 8 , -   , 15 , 3 , -   , 2 , -   , 3 , -   , 2 , -   , 60 , 4 , 4 , 120 , 8 , -   , 181 , 10 , 3 , -   , 11 , -   , -   , 9 , 19 , -   , -   , 1 , 1 , 44 , 3 , 28 , 49 , 3 , 28 , 1 , 3 , 13 , -   , 7 , 1 , -   , 3 , 218 , 3 , -   , 81 , 9 , 32 , 1 , -   , 19 , 1 , -   , 2 , 38 , 15 , 17 
 กลุ่มสถิติการขนส่ง  กองแผนงาน  กรมการขนส่งทางบก  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" (Transport Statistics Sub-Division, Planning Division , Department of Land Transport) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
